detection_time,magnitude,Houang&Beroza_(TM),Yoon_(FAST),Horton_(STA/LTA),Ogwary_(STA/LTA),Mousavi_(CRED)
2010-08-02T04:40:40.060000Z,-0.11701,1,1,0,0,0
2010-08-02T04:43:12.080000Z,0.09115,1,1,0,0,0
2010-08-02T04:44:56.740000Z,-0.59834,1,1,0,0,0
2010-08-02T04:49:31.630000Z,-0.04625,1,1,0,0,1
2010-08-02T04:52:27.260000Z,-0.1014,1,1,0,0,0
2010-08-02T04:57:31.280000Z,-0.3748,1,1,0,0,1
2010-08-02T05:03:13.550000Z,-0.47422,1,1,0,0,0
2010-08-02T05:03:26.630000Z,0.01091,1,1,0,0,0
2010-08-02T05:14:49.210000Z,0.34309,1,0,0,0,1
2010-08-02T05:15:59.960000Z,-0.71207,1,0,0,0,0
2010-08-02T05:29:44.020000Z,0.3694,1,1,0,0,0
2010-08-02T05:31:40.620000Z,-0.46367,1,1,0,0,1
2010-08-02T05:51:36.680000Z,-0.23981,1,1,0,0,1
2010-08-02T06:01:07.650000Z,-0.80571,1,1,0,0,0
2010-08-02T06:09:27.130000Z,0.05841,1,1,0,0,0
2010-08-02T06:17:53.060000Z,-0.015,1,1,0,0,0
2010-08-02T06:22:13.560000Z,-0.24365,1,1,0,0,0
2010-08-02T06:22:19.600000Z,-0.25633,1,1,0,0,0
2010-08-02T06:24:51.850000Z,-0.33771,1,1,0,0,0
2010-08-02T06:30:01.940000Z,-0.97464,1,0,0,0,0
2010-08-02T06:31:54.740000Z,-0.40372,1,1,0,0,0
2010-08-02T06:38:00.970000Z,-0.39455,1,1,0,0,0
2010-08-02T06:41:13.290000Z,0.3461,1,1,0,0,0
2010-08-02T06:45:32.470000Z,-0.01933,1,1,0,0,1
2010-08-02T06:46:16.690000Z,0.0048,1,1,0,0,0
2010-08-02T06:46:53.590000Z,-1.10583,1,1,0,0,0
2010-08-02T06:49:39.340000Z,0.00987,1,1,0,0,0
2010-08-02T06:52:52.790000Z,-0.16865,1,1,0,0,0
2010-08-02T06:55:13.420000Z,-0.46235,1,1,0,0,0
2010-08-02T07:05:05.780000Z,-0.55909,1,1,0,0,1
2010-08-02T07:05:55.700000Z,-0.20395,1,1,0,0,0
2010-08-02T07:12:55.020000Z,-0.62429,1,1,0,0,0
2010-08-02T07:13:13.610000Z,-0.32542,1,1,0,0,0
2010-08-02T07:14:12.260000Z,-0.5121,1,1,0,0,0
2010-08-02T07:19:01.550000Z,-0.2665,1,1,0,0,1
2010-08-02T07:26:56.500000Z,-0.13128,1,1,0,0,0
2010-08-02T07:33:56.230000Z,-0.54812,1,1,0,0,1
2010-08-02T07:36:22.630000Z,-0.73977,1,1,0,0,0
2010-08-02T07:36:34.860000Z,0.11526,1,1,0,0,0
2010-08-02T07:37:10.290000Z,-0.01482,1,1,0,0,0
2010-08-02T07:37:23.610000Z,-0.38433,1,1,0,0,0
2010-08-02T07:38:10.630000Z,-0.01967,1,1,0,0,0
2010-08-02T07:44:24.100000Z,0.2553,1,1,0,0,1
2010-08-02T07:46:34.700000Z,-0.1668,1,1,0,0,0
2010-08-02T07:47:17.320000Z,1.3912,1,1,0,0,0
2010-08-02T07:47:37.600000Z,-0.01568,1,1,0,0,0
2010-08-02T07:47:52.090000Z,0.119,1,1,0,0,0
2010-08-02T07:47:55.740000Z,0.37285,1,0,0,0,0
2010-08-02T07:48:05.180000Z,-0.10248,1,1,0,0,0
2010-08-02T07:48:52.320000Z,0.00788,1,1,0,0,0
2010-08-02T07:49:13.770000Z,0.6558,1,1,0,0,0
2010-08-02T07:49:16.770000Z,0.0523,1,0,0,0,0
2010-08-02T07:49:32.140000Z,-0.34082,1,1,0,0,0
